"day","mnth","dd","holiday"
2019-01-01,1,1,1
2019-01-02,1,2,1
2019-01-03,1,3,1
2019-01-04,1,4,1
2019-01-05,1,5,1
2019-01-06,1,6,1
2019-01-07,1,7,1
2019-01-08,1,8,1
2019-01-09,1,9,0
2019-01-10,1,10,0
2019-01-11,1,11,0
2019-01-12,1,12,0
2019-01-13,1,13,0
2019-01-14,1,14,0
2019-01-15,1,15,0
2019-01-16,1,16,0
2019-01-17,1,17,0
2019-01-18,1,18,0
2019-01-19,1,19,0
2019-01-20,1,20,0
2019-01-21,1,21,0
2019-01-22,1,22,0
2019-01-23,1,23,0
2019-01-24,1,24,0
2019-01-25,1,25,0
2019-01-26,1,26,0
2019-01-27,1,27,0
2019-01-28,1,28,0
2019-01-29,1,29,0
2019-01-30,1,30,0
2019-01-31,1,31,0
2019-02-01,2,1,0
2019-02-02,2,2,0
2019-02-03,2,3,0
2019-02-04,2,4,0
2019-02-05,2,5,0
2019-02-06,2,6,0
2019-02-07,2,7,0
2019-02-08,2,8,0
2019-02-09,2,9,0
2019-02-10,2,10,0
2019-02-11,2,11,0
2019-02-12,2,12,0
2019-02-13,2,13,0
2019-02-14,2,14,0
2019-02-15,2,15,0
2019-02-16,2,16,0
2019-02-17,2,17,0
2019-02-18,2,18,0
2019-02-19,2,19,0
2019-02-20,2,20,0
2019-02-21,2,21,0
2019-02-22,2,22,0
2019-02-23,2,23,1
2019-02-24,2,24,0
2019-02-25,2,25,0
2019-02-26,2,26,0
2019-02-27,2,27,0
2019-02-28,2,28,0
2019-03-01,3,1,0
2019-03-02,3,2,0
2019-03-03,3,3,0
2019-03-04,3,4,0
2019-03-05,3,5,0
2019-03-06,3,6,0
2019-03-07,3,7,0
2019-03-08,3,8,1
2019-03-09,3,9,0
2019-03-10,3,10,0
2019-03-11,3,11,0
2019-03-12,3,12,0
2019-03-13,3,13,0
2019-03-14,3,14,0
2019-03-15,3,15,0
2019-03-16,3,16,0
2019-03-17,3,17,0
2019-03-18,3,18,0
2019-03-19,3,19,0
2019-03-20,3,20,0
2019-03-21,3,21,0
2019-03-22,3,22,0
2019-03-23,3,23,0
2019-03-24,3,24,0
2019-03-25,3,25,0
2019-03-26,3,26,0
2019-03-27,3,27,0
2019-03-28,3,28,0
2019-03-29,3,29,0
2019-03-30,3,30,0
2019-03-31,3,31,0
2019-04-01,4,1,0
2019-04-02,4,2,0
2019-04-03,4,3,0
2019-04-04,4,4,0
2019-04-05,4,5,0
2019-04-06,4,6,0
2019-04-07,4,7,0
2019-04-08,4,8,0
2019-04-09,4,9,0
2019-04-10,4,10,0
2019-04-11,4,11,0
2019-04-12,4,12,0
2019-04-13,4,13,0
2019-04-14,4,14,0
2019-04-15,4,15,0
2019-04-16,4,16,0
2019-04-17,4,17,0
2019-04-18,4,18,0
2019-04-19,4,19,0
2019-04-20,4,20,0
2019-04-21,4,21,0
2019-04-22,4,22,0
2019-04-23,4,23,0
2019-04-24,4,24,0
2019-04-25,4,25,0
2019-04-26,4,26,0
2019-04-27,4,27,0
2019-04-28,4,28,0
2019-04-29,4,29,0
2019-04-30,4,30,0
2019-05-01,5,1,1
2019-05-02,5,2,0
2019-05-03,5,3,0
2019-05-04,5,4,0
2019-05-05,5,5,0
2019-05-06,5,6,0
2019-05-07,5,7,0
2019-05-08,5,8,0
2019-05-09,5,9,1
2019-05-10,5,10,0
2019-05-11,5,11,0
2019-05-12,5,12,0
2019-05-13,5,13,0
2019-05-14,5,14,0
2019-05-15,5,15,0
2019-05-16,5,16,0
2019-05-17,5,17,0
2019-05-18,5,18,0
2019-05-19,5,19,0
2019-05-20,5,20,0
2019-05-21,5,21,0
2019-05-22,5,22,0
2019-05-23,5,23,0
2019-05-24,5,24,0
2019-05-25,5,25,0
2019-05-26,5,26,0
2019-05-27,5,27,0
2019-05-28,5,28,0
2019-05-29,5,29,0
2019-05-30,5,30,0
2019-05-31,5,31,0
2019-06-01,6,1,0
2019-06-02,6,2,0
2019-06-03,6,3,0
2019-06-04,6,4,0
2019-06-05,6,5,0
2019-06-06,6,6,0
2019-06-07,6,7,0
2019-06-08,6,8,0
2019-06-09,6,9,0
2019-06-10,6,10,0
2019-06-11,6,11,0
2019-06-12,6,12,1
2019-06-13,6,13,0
2019-06-14,6,14,0
2019-06-15,6,15,0
2019-06-16,6,16,0
2019-06-17,6,17,0
2019-06-18,6,18,0
2019-06-19,6,19,0
2019-06-20,6,20,0
2019-06-21,6,21,0
2019-06-22,6,22,0
2019-06-23,6,23,0
2019-06-24,6,24,0
2019-06-25,6,25,0
2019-06-26,6,26,0
2019-06-27,6,27,0
2019-06-28,6,28,0
2019-06-29,6,29,0
2019-06-30,6,30,0
2019-07-01,7,1,0
2019-07-02,7,2,0
2019-07-03,7,3,0
2019-07-04,7,4,0
2019-07-05,7,5,0
2019-07-06,7,6,0
2019-07-07,7,7,0
2019-07-08,7,8,0
2019-07-09,7,9,0
2019-07-10,7,10,0
2019-07-11,7,11,0
2019-07-12,7,12,0
2019-07-13,7,13,0
2019-07-14,7,14,0
2019-07-15,7,15,0
2019-07-16,7,16,0
2019-07-17,7,17,0
2019-07-18,7,18,0
2019-07-19,7,19,0
2019-07-20,7,20,0
2019-07-21,7,21,0
2019-07-22,7,22,0
2019-07-23,7,23,0
2019-07-24,7,24,0
2019-07-25,7,25,0
2019-07-26,7,26,0
2019-07-27,7,27,0
2019-07-28,7,28,0
2019-07-29,7,29,0
2019-07-30,7,30,0
2019-07-31,7,31,0
2019-08-01,8,1,0
2019-08-02,8,2,0
2019-08-03,8,3,0
2019-08-04,8,4,0
2019-08-05,8,5,0
2019-08-06,8,6,0
2019-08-07,8,7,0
2019-08-08,8,8,0
2019-08-09,8,9,0
2019-08-10,8,10,0
2019-08-11,8,11,0
2019-08-12,8,12,0
2019-08-13,8,13,0
2019-08-14,8,14,0
2019-08-15,8,15,0
2019-08-16,8,16,0
2019-08-17,8,17,0
2019-08-18,8,18,0
2019-08-19,8,19,0
2019-08-20,8,20,0
2019-08-21,8,21,0
2019-08-22,8,22,0
2019-08-23,8,23,0
2019-08-24,8,24,0
2019-08-25,8,25,0
2019-08-26,8,26,0
2019-08-27,8,27,0
2019-08-28,8,28,0
2019-08-29,8,29,0
2019-08-30,8,30,0
2019-08-31,8,31,0
2019-09-01,9,1,0
2019-09-02,9,2,0
2019-09-03,9,3,0
2019-09-04,9,4,0
2019-09-05,9,5,0
2019-09-06,9,6,0
2019-09-07,9,7,0
2019-09-08,9,8,0
2019-09-09,9,9,0
2019-09-10,9,10,0
2019-09-11,9,11,0
2019-09-12,9,12,0
2019-09-13,9,13,0
2019-09-14,9,14,0
2019-09-15,9,15,0
2019-09-16,9,16,0
2019-09-17,9,17,0
2019-09-18,9,18,0
2019-09-19,9,19,0
2019-09-20,9,20,0
2019-09-21,9,21,0
2019-09-22,9,22,0
2019-09-23,9,23,0
2019-09-24,9,24,0
2019-09-25,9,25,0
2019-09-26,9,26,0
2019-09-27,9,27,0
2019-09-28,9,28,0
2019-09-29,9,29,0
2019-09-30,9,30,0
2019-10-01,10,1,0
2019-10-02,10,2,0
2019-10-03,10,3,0
2019-10-04,10,4,0
2019-10-05,10,5,0
2019-10-06,10,6,0
2019-10-07,10,7,0
2019-10-08,10,8,0
2019-10-09,10,9,0
2019-10-10,10,10,0
2019-10-11,10,11,0
2019-10-12,10,12,0
2019-10-13,10,13,0
2019-10-14,10,14,0
2019-10-15,10,15,0
2019-10-16,10,16,0
2019-10-17,10,17,0
2019-10-18,10,18,0
2019-10-19,10,19,0
2019-10-20,10,20,0
2019-10-21,10,21,0
2019-10-22,10,22,0
2019-10-23,10,23,0
2019-10-24,10,24,0
2019-10-25,10,25,0
2019-10-26,10,26,0
2019-10-27,10,27,0
2019-10-28,10,28,0
2019-10-29,10,29,0
2019-10-30,10,30,0
2019-10-31,10,31,0
2019-11-01,11,1,0
2019-11-02,11,2,0
2019-11-03,11,3,0
2019-11-04,11,4,1
2019-11-05,11,5,0
2019-11-06,11,6,0
2019-11-07,11,7,0
2019-11-08,11,8,0
2019-11-09,11,9,0
2019-11-10,11,10,0
2019-11-11,11,11,0
2019-11-12,11,12,0
2019-11-13,11,13,0
2019-11-14,11,14,0
2019-11-15,11,15,0
2019-11-16,11,16,0
2019-11-17,11,17,0
2019-11-18,11,18,0
2019-11-19,11,19,0
2019-11-20,11,20,0
2019-11-21,11,21,0
2019-11-22,11,22,0
2019-11-23,11,23,0
2019-11-24,11,24,0
2019-11-25,11,25,0
2019-11-26,11,26,0
2019-11-27,11,27,0
2019-11-28,11,28,0
2019-11-29,11,29,0
2019-11-30,11,30,0
2019-12-01,12,1,0
2019-12-02,12,2,0
2019-12-03,12,3,0
2019-12-04,12,4,0
2019-12-05,12,5,0
2019-12-06,12,6,0
2019-12-07,12,7,0
2019-12-08,12,8,0
2019-12-09,12,9,0
2019-12-10,12,10,0
2019-12-11,12,11,0
2019-12-12,12,12,0
2019-12-13,12,13,0
2019-12-14,12,14,0
2019-12-15,12,15,0
2019-12-16,12,16,0
2019-12-17,12,17,0
2019-12-18,12,18,0
2019-12-19,12,19,0
2019-12-20,12,20,0
2019-12-21,12,21,0
2019-12-22,12,22,0
2019-12-23,12,23,0
2019-12-24,12,24,0
2019-12-25,12,25,0
2019-12-26,12,26,0
2019-12-27,12,27,0
2019-12-28,12,28,0
2019-12-29,12,29,0
2019-12-30,12,30,0
2019-12-31,12,31,0
2020-01-01,1,1,1
2020-01-02,1,2,1
2020-01-03,1,3,1
2020-01-04,1,4,1
2020-01-05,1,5,1
2020-01-06,1,6,1
2020-01-07,1,7,1
2020-01-08,1,8,1
2020-01-09,1,9,0
2020-01-10,1,10,0
2020-01-11,1,11,0
2020-01-12,1,12,0
2020-01-13,1,13,0
2020-01-14,1,14,0
2020-01-15,1,15,0
2020-01-16,1,16,0
2020-01-17,1,17,0
2020-01-18,1,18,0
2020-01-19,1,19,0
2020-01-20,1,20,0
2020-01-21,1,21,0
2020-01-22,1,22,0
2020-01-23,1,23,0
2020-01-24,1,24,0
2020-01-25,1,25,0
2020-01-26,1,26,0
2020-01-27,1,27,0
2020-01-28,1,28,0
2020-01-29,1,29,0
2020-01-30,1,30,0
2020-01-31,1,31,0
2020-02-01,2,1,0
2020-02-02,2,2,0
2020-02-03,2,3,0
2020-02-04,2,4,0
2020-02-05,2,5,0
2020-02-06,2,6,0
2020-02-07,2,7,0
2020-02-08,2,8,0
2020-02-09,2,9,0
2020-02-10,2,10,0
2020-02-11,2,11,0
2020-02-12,2,12,0
2020-02-13,2,13,0
2020-02-14,2,14,0
2020-02-15,2,15,0
2020-02-16,2,16,0
2020-02-17,2,17,0
2020-02-18,2,18,0
2020-02-19,2,19,0
2020-02-20,2,20,0
2020-02-21,2,21,0
2020-02-22,2,22,0
2020-02-23,2,23,1
2020-02-24,2,24,0
2020-02-25,2,25,0
2020-02-26,2,26,0
2020-02-27,2,27,0
2020-02-28,2,28,0
2020-02-29,2,29,0
2020-03-01,3,1,0
2020-03-02,3,2,0
2020-03-03,3,3,0
2020-03-04,3,4,0
2020-03-05,3,5,0
2020-03-06,3,6,0
2020-03-07,3,7,0
2020-03-08,3,8,1
2020-03-09,3,9,0
2020-03-10,3,10,0
2020-03-11,3,11,0
2020-03-12,3,12,0
2020-03-13,3,13,0
2020-03-14,3,14,0
2020-03-15,3,15,0
2020-03-16,3,16,0
2020-03-17,3,17,0
2020-03-18,3,18,0
2020-03-19,3,19,0
2020-03-20,3,20,0
2020-03-21,3,21,0
2020-03-22,3,22,0
2020-03-23,3,23,0
2020-03-24,3,24,0
2020-03-25,3,25,0
2020-03-26,3,26,0
2020-03-27,3,27,0
2020-03-28,3,28,0
2020-03-29,3,29,0
2020-03-30,3,30,0
2020-03-31,3,31,0
2020-04-01,4,1,0
2020-04-02,4,2,0
2020-04-03,4,3,0
2020-04-04,4,4,0
2020-04-05,4,5,0
2020-04-06,4,6,0
2020-04-07,4,7,0
2020-04-08,4,8,0
2020-04-09,4,9,0
2020-04-10,4,10,0
2020-04-11,4,11,0
2020-04-12,4,12,0
2020-04-13,4,13,0
2020-04-14,4,14,0
2020-04-15,4,15,0
2020-04-16,4,16,0
2020-04-17,4,17,0
2020-04-18,4,18,0
2020-04-19,4,19,0
2020-04-20,4,20,0
2020-04-21,4,21,0
2020-04-22,4,22,0
2020-04-23,4,23,0
2020-04-24,4,24,0
2020-04-25,4,25,0
2020-04-26,4,26,0
2020-04-27,4,27,0
2020-04-28,4,28,0
2020-04-29,4,29,0
2020-04-30,4,30,0
2020-05-01,5,1,1
2020-05-02,5,2,0
2020-05-03,5,3,0
2020-05-04,5,4,0
2020-05-05,5,5,0
2020-05-06,5,6,0
2020-05-07,5,7,0
2020-05-08,5,8,0
2020-05-09,5,9,1
2020-05-10,5,10,0
2020-05-11,5,11,0
2020-05-12,5,12,0
2020-05-13,5,13,0
2020-05-14,5,14,0
2020-05-15,5,15,0
2020-05-16,5,16,0
2020-05-17,5,17,0
2020-05-18,5,18,0
2020-05-19,5,19,0
2020-05-20,5,20,0
2020-05-21,5,21,0
2020-05-22,5,22,0
2020-05-23,5,23,0
2020-05-24,5,24,0
2020-05-25,5,25,0
2020-05-26,5,26,0
2020-05-27,5,27,0
2020-05-28,5,28,0
2020-05-29,5,29,0
2020-05-30,5,30,0
2020-05-31,5,31,0
2020-06-01,6,1,0
2020-06-02,6,2,0
2020-06-03,6,3,0
2020-06-04,6,4,0
2020-06-05,6,5,0
2020-06-06,6,6,0
2020-06-07,6,7,0
2020-06-08,6,8,0
2020-06-09,6,9,0
2020-06-10,6,10,0
2020-06-11,6,11,0
2020-06-12,6,12,1
2020-06-13,6,13,0
2020-06-14,6,14,0
2020-06-15,6,15,0
2020-06-16,6,16,0
2020-06-17,6,17,0
2020-06-18,6,18,0
2020-06-19,6,19,0
2020-06-20,6,20,0
2020-06-21,6,21,0
2020-06-22,6,22,0
2020-06-23,6,23,0
2020-06-24,6,24,0
2020-06-25,6,25,0
2020-06-26,6,26,0
2020-06-27,6,27,0
2020-06-28,6,28,0
2020-06-29,6,29,0
2020-06-30,6,30,0
2020-07-01,7,1,0
2020-07-02,7,2,0
